neighbourhood,room_type,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Haight Ashbury,Entire home/apt,37.7681,-122.43972,405,1,11,0.13,1,93
Potrero Hill,Private room,37.76186,-122.4037,129,3,5,0.06,3,20
Noe Valley,Entire home/apt,37.75363,-122.43138,1000,2,18,0.49,1,0
Haight Ashbury,Private room,37.77558,-122.4406,93,2,61,1.11,3,5
Marina,Entire home/apt,37.80172,-122.43501,139,3,306,3.56,1,154
Marina,Entire home/apt,37.80178,-122.43719,1049,4,8,0.09,1,186
Noe Valley,Entire home/apt,37.74555,-122.43384,99,2,514,6.01,1,262
Outer Richmond,Entire home/apt,37.77632,-122.48067,69,1,660,7.67,2,92
Mission,Entire home/apt,37.76157,-122.42186,400,2,78,0.91,1,0
Noe Valley,Private room,37.75036,-122.42621,105,2,211,4.84,4,4
Nob Hill,Entire home/apt,37.79648,-122.4118,295,5,20,0.26,3,223
Mission,Entire home/apt,37.75066,-122.42349,368,3,13,0.2,2,16
Bernal Heights,Entire home/apt,37.74663,-122.41696,195,3,8,0.33,1,0
Mission,Private room,37.75731,-122.40954,98,1,41,0.54,4,346
Haight Ashbury,Entire home/apt,37.76613,-122.45252,121,30,18,0.24,40,218
Western Addition,Private room,37.77023,-122.42957,95,2,339,3.96,2,259
Noe Valley,Entire home/apt,37.75301,-122.43686,500,30,196,2.29,1,0
Pacific Heights,Private room,37.79384,-122.42436,63,30,97,1.13,9,270
Potrero Hill,Private room,37.75943,-122.40398,121,3,271,3.17,4,97
Western Addition,Entire home/apt,37.77448,-122.43359,105,30,60,0.71,1,306
Haight Ashbury,Entire home/apt,37.77586,-122.44243,350,30,1,0.04,1,277
Noe Valley,Entire home/apt,37.74366,-122.42993,975,5,8,0.09,1,39
Mission,Private room,37.76024,-122.4088,72,31,9,0.11,7,235
Bernal Heights,Shared room,37.74748,-122.40821,79,30,54,0.64,2,365
Haight Ashbury,Entire home/apt,37.76668,-122.45095,375,3,49,0.59,1,319
South of Market,Entire home/apt,37.77528,-122.40772,279,30,106,2.27,1,0
Mission,Entire home/apt,37.75517,-122.40377,175,4,38,0.45,1,1
South of Market,Entire home/apt,37.78111,-122.40597,123,30,37,0.44,1,0
Bernal Heights,Private room,37.74656,-122.40655,125,30,1,0.05,2,41
Noe Valley,Entire home/apt,37.75566,-122.43454,201,30,257,3.03,1,309
Potrero Hill,Private room,37.75926,-122.40442,280,3,35,0.42,4,178
Bayview,Private room,37.7371,-122.39761,50,31,26,0.31,2,83
Glen Park,Entire home/apt,37.74118,-122.43275,95,30,7,0.09,2,262
Outer Mission,Private room,37.73258,-122.44126,79,30,80,1.27,2,345
South of Market,Entire home/apt,37.78128,-122.40346,975,1,113,1.34,1,357
Castro/Upper Market,Entire home/apt,37.76612,-122.42771,500,4,16,0.19,1,0
Bernal Heights,Entire home/apt,37.7457,-122.42423,178,60,6,0.07,1,365
Noe Valley,Private room,37.75311,-122.42673,100,1,214,2.53,3,97
Lakeshore,Entire home/apt,37.731,-122.47932,250,1,258,3.08,1,260
Bernal Heights,Private room,37.74038,-122.41755,79,3,242,2.89,1,92
Outer Mission,Private room,37.7351,-122.4415,85,2,153,1.81,1,310
Bayview,Private room,37.74514,-122.40459,90,3,293,3.46,1,277
North Beach,Entire home/apt,37.80301,-122.40216,199,30,4,0.06,1,123
North Beach,Entire home/apt,37.80264,-122.41046,949,2,201,2.41,1,114
Mission,Entire home/apt,37.75458,-122.40975,282,6,21,0.25,3,9
Mission,Entire home/apt,37.75797,-122.4096,240,3,21,0.35,1,55
Mission,Private room,37.75292,-122.41875,85,2,387,4.59,2,312
Mission,Entire home/apt,37.75316,-122.42125,450,7,6,0.08,2,201
West of Twin Peaks,Entire home/apt,37.72859,-122.45452,110,2,399,4.75,2,20
Castro/Upper Market,Entire home/apt,37.76499,-122.44262,395,4,62,0.74,1,12
Haight Ashbury,Entire home/apt,37.77431,-122.45236,135,3,380,4.53,1,169
Mission,Entire home/apt,37.75192,-122.41365,150,2,255,3.05,1,157
Western Addition,Shared room,37.77532,-122.43741,67,30,0,0,2,64
Excelsior,Private room,37.7296,-122.42728,35,30,18,0.22,14,360
Castro/Upper Market,Entire home/apt,37.75697,-122.42727,450,3,29,0.35,1,9
Potrero Hill,Entire home/apt,37.76644,-122.39588,395,4,58,0.77,1,288
Western Addition,Private room,37.78221,-122.43708,120,3,246,3.17,1,261
Inner Sunset,Entire home/apt,37.76369,-122.45304,145,1,531,6.38,1,125
Mission,Entire home/apt,37.76375,-122.4125,180,30,4,0.05,2,0
Haight Ashbury,Entire home/apt,37.76646,-122.4432,160,30,80,0.98,2,365
West of Twin Peaks,Entire home/apt,37.74028,-122.46885,79,5,286,3.46,3,42
Inner Richmond,Entire home/apt,37.77571,-122.46296,135,3,205,2.48,1,60
Castro/Upper Market,Private room,37.75935,-122.44437,379,30,45,0.54,1,89
Mission,Entire home/apt,37.76284,-122.42443,322,4,18,0.22,2,0
Outer Sunset,Entire home/apt,37.74781,-122.50316,153,1,443,5.35,1,295
Noe Valley,Entire home/apt,37.75354,-122.43372,170,30,255,3.08,2,205
South of Market,Entire home/apt,37.7822,-122.404,175,30,53,0.65,1,186
Noe Valley,Entire home/apt,37.74935,-122.43532,139,3,267,3.22,1,0
Noe Valley,Entire home/apt,37.75305,-122.43465,275,30,135,3.18,2,361
Outer Richmond,Entire home/apt,37.78068,-122.48146,520,5,9,0.15,2,269
Western Addition,Entire home/apt,37.78937,-122.42937,162,30,27,0.33,1,207
North Beach,Entire home/apt,37.80153,-122.4094,185,30,177,2.15,1,288
Potrero Hill,Private room,37.76037,-122.40414,178,2,5,0.07,3,0
Russian Hill,Entire home/apt,37.80627,-122.41919,395,3,113,1.42,1,268
Chinatown,Entire home/apt,37.79147,-122.40848,123,30,9,0.11,8,93
Mission,Entire home/apt,37.75817,-122.42546,450,3,33,0.44,1,365
Castro/Upper Market,Private room,37.76063,-122.44618,115,1,330,4.01,1,288
Mission,Private room,37.75621,-122.41555,120,1,627,7.65,2,296
Mission,Private room,37.75495,-122.41683,120,1,639,7.8,2,321
Haight Ashbury,Entire home/apt,37.76739,-122.4493,295,30,112,1.4,2,365
Haight Ashbury,Entire home/apt,37.77154,-122.43888,225,30,73,0.89,4,0
Mission,Entire home/apt,37.76411,-122.42159,350,3,254,3.1,1,42
Haight Ashbury,Entire home/apt,37.77046,-122.44772,152,30,118,1.45,1,245
Marina,Entire home/apt,37.80508,-122.44226,135,30,17,0.27,2,363
Glen Park,Entire home/apt,37.73868,-122.42949,250,14,20,0.28,1,10
Mission,Entire home/apt,37.75692,-122.41116,399,7,45,0.55,1,0
Bernal Heights,Entire home/apt,37.74668,-122.41401,146,30,86,1.06,1,249
West of Twin Peaks,Entire home/apt,37.74387,-122.45375,400,2,95,1.18,1,221
Mission,Private room,37.75634,-122.40976,80,2,96,1.4,1,33
Noe Valley,Entire home/apt,37.74259,-122.42804,139,3,184,2.28,1,61
Mission,Private room,37.76022,-122.42551,140,2,380,4.71,2,53
Castro/Upper Market,Entire home/apt,37.75809,-122.44311,645,5,20,0.54,1,48
Mission,Private room,37.76845,-122.42228,129,4,119,1.55,1,42
Mission,Private room,37.75029,-122.42157,160,1,152,2.96,3,322
Financial District,Entire home/apt,37.7842,-122.39925,250,183,3,0.04,1,365
Bayview,Private room,37.73341,-122.39274,50,30,87,1.15,3,310
Western Addition,Entire home/apt,37.77596,-122.44525,160,5,118,1.46,1,34
Castro/Upper Market,Entire home/apt,37.76077,-122.43786,250,30,13,0.21,2,244
Financial District,Shared room,37.79313,-122.40443,45,1,191,2.35,20,48
Financial District,Shared room,37.79421,-122.4031,45,1,189,2.31,20,63
Financial District,Shared room,37.7926,-122.40339,45,1,184,2.69,20,66
Excelsior,Entire home/apt,37.72924,-122.42653,120,2,231,2.87,1,256
Western Addition,Entire home/apt,37.77031,-122.43242,150,3,193,2.43,1,256
Bernal Heights,Private room,37.73198,-122.42292,59,30,6,0.16,6,49
Outer Mission,Private room,37.73146,-122.45057,57,30,52,1.11,1,121
Ocean View,Entire home/apt,37.71997,-122.45089,180,4,18,0.22,1,0
Mission,Entire home/apt,37.75925,-122.42306,300,3,33,0.98,1,0
South of Market,Entire home/apt,37.78786,-122.39325,325,3,56,0.85,2,32
Western Addition,Entire home/apt,37.7846,-122.44389,130,30,225,2.82,1,217
Western Addition,Private room,37.777,-122.43681,110,3,100,2.05,3,264
Marina,Private room,37.80014,-122.42456,70,30,22,0.53,2,107
Russian Hill,Entire home/apt,37.79748,-122.42065,105,30,2,0.03,1,157
Outer Mission,Private room,37.72754,-122.44927,40,30,11,0.18,1,353
Inner Sunset,Entire home/apt,37.75949,-122.46839,135,1,38,0.59,2,255
Mission,Entire home/apt,37.77109,-122.42402,699,3,97,1.22,2,137
Pacific Heights,Entire home/apt,37.79511,-122.42651,175,200,2,0.03,1,364
South of Market,Entire home/apt,37.78377,-122.40721,200,30,9,0.12,2,0
Inner Sunset,Entire home/apt,37.75942,-122.4677,104,30,11,0.14,2,80
Western Addition,Entire home/apt,37.77159,-122.43204,249,2,42,0.58,2,23
Pacific Heights,Private room,37.7911,-122.43382,125,31,9,0.11,1,353
Bernal Heights,Entire home/apt,37.74641,-122.41163,145,2,228,3.08,1,200
Chinatown,Shared room,37.7936,-122.40576,30,30,8,0.11,7,323
Crocker Amazon,Private room,37.70885,-122.43077,70,3,253,3.18,3,56
Crocker Amazon,Private room,37.70978,-122.4308,65,3,231,2.9,3,68
Western Addition,Entire home/apt,37.77444,-122.43672,475,4,3,0.05,2,65
Crocker Amazon,Private room,37.70988,-122.43083,70,3,204,2.59,3,71
South of Market,Entire home/apt,37.77576,-122.41073,300,3,55,1.16,1,46
Mission,Private room,37.76221,-122.4199,168,1,107,1.48,2,156
Mission,Private room,37.75697,-122.42019,135,31,7,0.09,1,76
Haight Ashbury,Private room,37.76897,-122.43855,109,2,309,3.86,1,26
Potrero Hill,Entire home/apt,37.75318,-122.40124,179,30,160,2.05,3,123
Potrero Hill,Entire home/apt,37.75658,-122.40047,210,30,79,1.01,3,125
Western Addition,Entire home/apt,37.78115,-122.43246,138,30,1,0.01,26,217
Mission,Entire home/apt,37.76252,-122.42428,375,30,32,0.52,2,74
Mission,Private room,37.7714,-122.42328,150,4,23,0.37,2,21
Bernal Heights,Entire home/apt,37.73822,-122.42233,95,30,225,2.93,1,75
Mission,Entire home/apt,37.7665,-122.4183,549,5,30,0.42,2,116
Castro/Upper Market,Entire home/apt,37.76469,-122.43424,185,30,123,1.58,1,342
Bernal Heights,Entire home/apt,37.74151,-122.42308,360,3,83,1.05,1,194
Nob Hill,Entire home/apt,37.79665,-122.41262,205,180,0,0,1,365
Western Addition,Entire home/apt,37.78622,-122.4444,425,2,4,0.05,1,1
Inner Sunset,Entire home/apt,37.76464,-122.4678,190,30,219,2.84,1,264
Marina,Entire home/apt,37.80532,-122.43548,435,3,7,0.14,2,14
Bernal Heights,Entire home/apt,37.7465,-122.40989,175,4,135,1.72,1,216
Russian Hill,Private room,37.80317,-122.41841,111,1,201,2.75,1,142
Western Addition,Entire home/apt,37.78078,-122.43303,141,60,7,0.1,26,304
Western Addition,Entire home/apt,37.77116,-122.43373,269,2,9,0.24,2,23
Downtown/Civic Center,Entire home/apt,37.77531,-122.42038,189,30,10,0.14,26,340
Noe Valley,Private room,37.74474,-122.42731,62,30,20,0.26,2,340
Potrero Hill,Entire home/apt,37.75646,-122.40114,295,30,94,1.2,1,340
Bayview,Private room,37.73825,-122.39793,79,30,17,0.22,2,0
Castro/Upper Market,Entire home/apt,37.75804,-122.43579,545,90,13,0.18,1,365
South of Market,Entire home/apt,37.78655,-122.38992,199,30,1,0.03,25,0
Mission,Private room,37.74874,-122.41825,85,5,145,1.84,3,319
Golden Gate Park,Entire home/apt,37.76569,-122.48264,185,7,80,1.04,1,116
Mission,Private room,37.76605,-122.42066,93,4,227,2.87,1,256
Haight Ashbury,Entire home/apt,37.76284,-122.44624,150,30,66,0.92,1,330
Bernal Heights,Entire home/apt,37.74446,-122.4085,859,2,23,0.35,4,284
Western Addition,Private room,37.77797,-122.43739,57,30,11,0.15,14,324
Bayview,Entire home/apt,37.72888,-122.38726,68,2,72,1.69,2,19
Castro/Upper Market,Entire home/apt,37.75952,-122.44559,175,5,335,4.31,2,108
Haight Ashbury,Entire home/apt,37.76097,-122.44837,400,30,100,1.28,2,300
Mission,Entire home/apt,37.77039,-122.42267,101,30,35,0.45,40,305
Pacific Heights,Entire home/apt,37.79177,-122.4327,990,5,8,0.11,2,42
Inner Richmond,Entire home/apt,37.77465,-122.46206,115,30,64,0.84,1,292
Mission,Private room,37.75949,-122.42487,250,2,78,1,1,0
Mission,Entire home/apt,37.75991,-122.41065,245,1,190,2.46,1,0
Western Addition,Entire home/apt,37.7818,-122.44348,130,30,18,0.24,1,50
Mission,Entire home/apt,37.75708,-122.40801,136,30,6,0.08,1,0
Presidio Heights,Entire home/apt,37.78352,-122.45798,275,2,97,3.46,2,328
Potrero Hill,Entire home/apt,37.76244,-122.40375,210,30,50,0.64,1,347
Bayview,Private room,37.73407,-122.39527,84,30,46,0.59,3,365
South of Market,Entire home/apt,37.77719,-122.40871,220,31,109,1.4,4,0
Haight Ashbury,Entire home/apt,37.76527,-122.45136,210,31,13,0.2,1,340
Inner Richmond,Entire home/apt,37.77842,-122.45796,140,30,264,3.39,2,225
Excelsior,Private room,37.72098,-122.43159,105,2,109,1.49,1,350
South of Market,Private room,37.78178,-122.39184,175,30,26,0.34,1,278
Russian Hill,Private room,37.79844,-122.4105,99,30,106,1.38,1,59
Western Addition,Private room,37.77713,-122.44158,115,2,226,3.02,1,248
Haight Ashbury,Entire home/apt,37.76965,-122.43833,300,30,1,0.07,25,15
Potrero Hill,Entire home/apt,37.7646,-122.40415,181,30,148,1.95,1,265
Outer Sunset,Entire home/apt,37.74984,-122.50852,495,3,64,0.84,1,42
Castro/Upper Market,Private room,37.7654,-122.43398,75,30,2,0.03,2,0
Mission,Entire home/apt,37.7557,-122.41151,250,3,41,0.55,1,43
Glen Park,Entire home/apt,37.73485,-122.43407,135,1,549,7.15,1,115
North Beach,Private room,37.80055,-122.40562,79,2,332,4.27,2,40
Haight Ashbury,Private room,37.7703,-122.45021,53,1,403,5.26,5,281
Outer Sunset,Private room,37.75948,-122.50712,90,3,222,2.87,1,164
Noe Valley,Entire home/apt,37.75632,-122.42667,325,4,39,0.53,3,33
Marina,Entire home/apt,37.7971,-122.42793,200,31,6,0.08,1,361
Castro/Upper Market,Private room,37.76122,-122.43823,99,30,13,0.18,3,45
Potrero Hill,Entire home/apt,37.75963,-122.40192,272,5,21,0.3,3,42
Mission,Private room,37.76202,-122.42335,115,2,277,3.62,2,14
Nob Hill,Entire home/apt,37.7959,-122.41813,230,30,87,1.15,1,227
West of Twin Peaks,Private room,37.73429,-122.46413,55,2,89,1.16,5,341
Marina,Entire home/apt,37.80507,-122.44358,775,30,4,0.08,2,352
Inner Richmond,Entire home/apt,37.78027,-122.46108,399,3,11,0.18,4,5
Inner Sunset,Private room,37.76043,-122.46203,75,1,206,2.68,6,345
South of Market,Shared room,37.77597,-122.40504,311,30,116,1.5,2,320
Inner Sunset,Private room,37.76105,-122.46313,65,1,193,4.21,6,197
Western Addition,Entire home/apt,37.76943,-122.43377,310,3,48,0.64,2,50
Mission,Entire home/apt,37.75401,-122.40925,259,30,193,2.5,1,1
Noe Valley,Entire home/apt,37.75233,-122.42834,525,4,11,0.15,1,217
Noe Valley,Entire home/apt,37.74833,-122.42621,127,30,6,0.08,1,349
Outer Sunset,Entire home/apt,37.75975,-122.50544,300,1,161,2.09,4,58
Russian Hill,Entire home/apt,37.80519,-122.42143,298,2,13,0.18,1,3
Bernal Heights,Entire home/apt,37.74308,-122.40679,140,30,86,1.12,1,151
Mission,Private room,37.75231,-122.40827,93,30,91,1.23,2,281
Castro/Upper Market,Private room,37.75855,-122.4453,111,1,528,7.25,2,221
Mission,Entire home/apt,37.75698,-122.41126,180,31,109,1.52,2,354
Downtown/Civic Center,Entire home/apt,37.77632,-122.422,255,30,4,0.07,26,218
Financial District,Shared room,37.7901,-122.39593,74,2,227,2.97,2,46
South of Market,Shared room,37.77981,-122.41022,5000,58,41,0.55,1,167
Bayview,Private room,37.74168,-122.38258,76,1,329,4.89,1,216
Russian Hill,Entire home/apt,37.79951,-122.41714,550,2,116,1.52,1,212
Outer Richmond,Private room,37.77712,-122.47832,120,2,129,1.73,2,202
Castro/Upper Market,Private room,37.76094,-122.44388,90,1,57,1.02,2,2
Noe Valley,Private room,37.74304,-122.42874,70,30,19,0.26,2,291
South of Market,Entire home/apt,37.77807,-122.4101,595,1,60,0.86,1,26
South of Market,Entire home/apt,37.77967,-122.40379,180,365,40,0.53,2,365
Outer Sunset,Private room,37.75655,-122.4799,68,7,1,1,2,309
Mission,Entire home/apt,37.76016,-122.42413,100,30,49,0.65,1,55
Western Addition,Entire home/apt,37.77093,-122.43008,500,3,38,0.52,1,123
Western Addition,Entire home/apt,37.78521,-122.44279,500,2,34,0.69,1,0
South of Market,Private room,37.78081,-122.40596,130,30,32,0.46,1,106
Castro/Upper Market,Entire home/apt,37.76225,-122.43232,192,30,143,1.94,1,35
Outer Richmond,Entire home/apt,37.7752,-122.50139,159,2,147,3.07,1,111
Noe Valley,Entire home/apt,37.74553,-122.43805,220,30,94,1.26,1,251
Castro/Upper Market,Entire home/apt,37.75871,-122.43815,950,2,70,0.93,1,40
Pacific Heights,Entire home/apt,37.7909,-122.43397,500,2,7,0.67,1,1
Noe Valley,Entire home/apt,37.74356,-122.42908,175,30,85,1.17,2,0
Nob Hill,Private room,37.79149,-122.41529,98,2,284,3.88,2,104
Pacific Heights,Entire home/apt,37.78983,-122.43481,149,90,80,1.05,1,127
Outer Mission,Entire home/apt,37.72731,-122.43864,150,30,63,0.89,1,365
Western Addition,Entire home/apt,37.7832,-122.4371,100,30,2,0.03,1,297
Western Addition,Entire home/apt,37.77804,-122.43084,500,30,66,1.39,2,322
Potrero Hill,Private room,37.76046,-122.39778,120,2,67,3.85,2,307
West of Twin Peaks,Private room,37.73446,-122.46455,47,2,147,1.95,5,342
West of Twin Peaks,Private room,37.73586,-122.46462,41,2,139,1.85,5,276
Glen Park,Entire home/apt,37.73846,-122.42951,138,2,25,0.5,1,0
Mission,Private room,37.75776,-122.41144,150,3,30,0.4,2,0
South of Market,Entire home/apt,37.78005,-122.40323,90,360,39,0.52,2,72
Outer Sunset,Entire home/apt,37.75727,-122.50099,290,7,18,0.29,1,46
Western Addition,Entire home/apt,37.78681,-122.43277,140,30,0,0,1,354
Haight Ashbury,Private room,37.76739,-122.44467,125,3,292,3.94,1,11
Castro/Upper Market,Entire home/apt,37.76846,-122.43863,310,2,314,4.24,1,326
Marina,Entire home/apt,37.79966,-122.43795,799,30,11,0.26,1,185
South of Market,Entire home/apt,37.784,-122.39019,185,180,1,0.01,1,217
North Beach,Entire home/apt,37.8039,-122.40661,290,30,3,0.05,1,363
Outer Mission,Entire home/apt,37.72862,-122.43484,149,30,31,0.44,1,229
South of Market,Entire home/apt,37.77706,-122.4047,245,6,53,0.95,3,4
North Beach,Entire home/apt,37.80068,-122.40549,300,30,15,0.21,2,365
North Beach,Entire home/apt,37.80102,-122.40395,300,30,3,0.05,2,338
Noe Valley,Entire home/apt,37.74254,-122.42685,120,30,84,1.14,1,37
North Beach,Entire home/apt,37.80015,-122.40543,160,30,111,1.49,1,310
Western Addition,Entire home/apt,37.77766,-122.43437,275,3,77,1.02,2,65
Western Addition,Entire home/apt,37.77537,-122.43139,300,4,13,0.18,1,257
Castro/Upper Market,Entire home/apt,37.75664,-122.43984,99,2,38,0.51,1,0
Outer Richmond,Private room,37.77658,-122.47882,100,2,264,3.51,2,170
Nob Hill,Private room,37.79268,-122.41532,60,30,22,0.3,1,334
Outer Mission,Private room,37.73289,-122.44803,75,30,16,0.22,3,353
South of Market,Entire home/apt,37.78067,-122.39794,75,30,30,0.41,1,337
Mission,Entire home/apt,37.75599,-122.4222,225,3,27,0.37,2,0
Bernal Heights,Private room,37.7432,-122.40936,143,3,180,2.41,1,245
Haight Ashbury,Private room,37.77139,-122.44729,99,1,194,2.6,4,332
Nob Hill,Private room,37.7897,-122.41483,128,1,2,2,2,30
Noe Valley,Entire home/apt,37.7534,-122.43011,250,2,6,0.08,1,205
South of Market,Private room,37.77621,-122.39703,120,30,175,2.41,2,291
Outer Mission,Private room,37.71475,-122.44324,59,30,14,0.19,1,361
Haight Ashbury,Private room,37.77113,-122.44616,89,1,262,3.5,4,337
Haight Ashbury,Private room,37.77028,-122.44757,79,1,350,4.71,4,299
Haight Ashbury,Private room,37.77107,-122.44874,99,1,188,2.52,4,323
Presidio Heights,Entire home/apt,37.78491,-122.4581,1500,2,11,0.23,2,365
Castro/Upper Market,Private room,37.76023,-122.43774,175,2,4,0.06,2,88
Castro/Upper Market,Entire home/apt,37.76087,-122.4414,625,3,100,1.36,2,164
Marina,Entire home/apt,37.80362,-122.44547,510,60,40,0.55,5,335
Bernal Heights,Entire home/apt,37.74644,-122.41747,345,3,50,0.67,2,15
Mission,Private room,37.75863,-122.41179,148,3,91,1.24,2,76
South of Market,Entire home/apt,37.77966,-122.40344,186,3,25,0.34,1,8
South of Market,Entire home/apt,37.77782,-122.3968,217,180,55,0.74,1,365
Bernal Heights,Private room,37.73489,-122.42641,89,3,179,2.53,2,304
South of Market,Entire home/apt,37.7763,-122.40966,104,31,103,1.38,4,278
Russian Hill,Entire home/apt,37.79972,-122.41709,442,7,16,0.22,2,44
Marina,Private room,37.80365,-122.44555,165,60,85,1.16,5,339
Bernal Heights,Entire home/apt,37.7367,-122.41797,450,3,28,0.38,1,3
Western Addition,Private room,37.77871,-122.4372,50,30,13,0.18,14,326
Downtown/Civic Center,Entire home/apt,37.78185,-122.42087,124,30,17,0.23,26,314
Castro/Upper Market,Entire home/apt,37.76518,-122.42791,430,2,42,0.57,1,215
Potrero Hill,Entire home/apt,37.76341,-122.38915,180,50,0,0,1,365
Castro/Upper Market,Private room,37.76693,-122.43102,130,3,165,2.27,1,4
West of Twin Peaks,Entire home/apt,37.73461,-122.46862,130,3,77,1.06,2,280
Noe Valley,Private room,37.74264,-122.42576,80,3,50,0.68,2,295
Western Addition,Entire home/apt,37.76974,-122.43233,295,5,36,0.51,1,36
